Nome_Montadora;Nome_Modelo;Ano_Inicio;Ano_Fim;Classificacao_Modelo;Filtro_Cambio;Codigo_Cambio
Mercedes-Benz;C 230;1990;2025;Kompressor 2.3;WFC-527 / WFC-927;722.6 (Mercedes 5M)
Mercedes-Benz;C 250;1990;2025;2.0;WFC-227 / WFC-228 / WFC-229 / WFC-230;DSG / S-Tronic
Mercedes-Benz;C 280;1990;2025;2.8;WFC-527 / WFC-927;722.6 (Mercedes 5M)
Mercedes-Benz;C 55;1990;2025;AMG 5.5;WFC-527 / WFC-927;722.6 (Mercedes 5M)
Mercedes-Benz;C180;1990;2025;1.8 Turbo;WFC-926;722.9 / 7G-Tronic
Mercedes-Benz;C200;1990;2025;1.8 Turbo;WFC-926;722.9 / 7G-Tronic
Mercedes-Benz;C250;1990;2025;1.8 Turbo;WFC-926;722.9 / 7G-Tronic
Mercedes-Benz;C280;1990;2025;3.0 V6;WFC-926;722.9 / 7G-Tronic
Mercedes-Benz;C300;1990;2025;2.0;WFC-227 / WFC-228 / WFC-229 / WFC-230;DSG / S-Tronic
Mercedes-Benz;CLA 250;1990;2025;1.6 E 2.0;WFC-558 / WFC-958;724.0 / 7G-DCT
Mercedes-Benz;CLA 45;1990;2025;2.0;WFC-558 / WFC-958;724.0 / 7G-DCT
Mercedes-Benz;Cla250;1990;2025;1.6;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Mercedes-Benz;Cla250;1990;2025;2.0;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Mercedes-Benz;Cla45;1990;2025;2.0;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Mercedes-Benz;Classe A A160;1990;2025;1.6;WFC-928;722.7
Mercedes-Benz;GLA 250;1990;2025;2.0;WFC-558 / WFC-958;724.0 / 7G-DCT
Mercedes-Benz;GLA 45;1990;2025;2.0 Turbo;WFC-558 / WFC-958;724.0 / 7G-DCT
Mercedes-Benz;Gla200;1990;2025;1.6;WFC-558 / WFC-958;724.0 / 7G-DCT
Mercedes-Benz;Gla200;1990;2025;1.6;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Mercedes-Benz;Gla250;1990;2025;2.0;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Mercedes-Benz;Gla45;1990;2025;2.0;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Mercedes-Benz;Mercedes-benz A200;1990;2025;1.6 Turbo;WFC-558 / WFC-958;724.0 / 7G-DCT
Mercedes-Benz;S 320;1990;2025;3.0 Sl280 2.8 Sl600 6.0;WFC-527 / WFC-927;722.6 (Mercedes 5M)
Nissan;350Z;1990;2025;3.5;WFC-971;RE5R05A / A5SR1 / A5SR2
Nissan;370Z;1990;2025;3.7 V6;WFC-245;JR710E / JR711E / RE7R01A
Nissan;Frontier;1990;2025;2.5;WFC-971;RE5R05A / A5SR1 / A5SR2
Nissan;Grand Livina;2008;2025;1.8 ->;WFC-976;RE4F03A / RL4F03A
Nissan;Kicks;2016;2025;1.6 CVT;WEOC-002 / WEOC-003 / WEOC-004 / WFC-246 / WFC-997 / WFC-998;JF015 / CVT7
Nissan;Livina;2008;2025;1.6 E 1.8 FLEX;WFC-976;RE4F03A / RL4F03A
Nissan;March;11;2025;1.6 CVT;WEOC-002 / WEOC-003 / WEOC-004 / WFC-246 / WFC-997 / WFC-998;JF015 / CVT7
Nissan;Pathfinder Iii;1;96;4.0 E 2.5;WFC-971;RE5R05A / A5SR1 / A5SR2
Nissan;Sentra;2000;2007;1.8;WFC-976;RE4F03A / RL4F03A
Nissan;Sentra;2017;2020;2.0;WFC-243;JF015 / CVT7
Nissan;Sentra;7;2025;2.0 CVT;WFC-941 / WFC-953;JF011E / REOF10A
Nissan;Sentra;7;2025;2.0 CVT;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Nissan;Sentra;2012;2025;2.0 FLEX ->;WEOC-001;JF011E / REOF10A
Nissan;Tiida;2007;2025;1.8 16V;WFC-976;RE4F03A / RL4F03A
Nissan;Versa;11;2025;1.6 CVT;WEOC-002 / WEOC-003 / WEOC-004 / WFC-246 / WFC-997 / WFC-998;JF015 / CVT7
Nissan;Versa;2017;2020;2.0;WFC-243;JF015 / CVT7
Nissan;Versa;11;2025;2.0 CVT;WFC-941 / WFC-953;JF011E / REOF10A
Peugeot;206;1;2025;1.6 E 207 1.6 E 307 1.6 E 2.0;WFC-904;AL4 / DP0
Peugeot;3008;9;2025;1.6;WFC-942;TF70SC / AT6
Peugeot;406;97;4;2.0 E 3.0 E 407 2.0 E 3.0 E 807 2.0;WFC-904;AL4 / DP0
Porsche;718 Boxster Boxster <09-16>;2017;2018;Padrão;WFC-226;DSG / S-Tronic
Porsche;718 Cayman Cayman <09-16>;2017;2018;Padrão;WFC-226;DSG / S-Tronic
Porsche;911;2009;2018;Padrão;WFC-226;DSG / S-Tronic
Porsche;Cayenne;2;2025;3.6 E 4.8;WFC-224;0C8 / TR80SD
Porsche;Panamera;2009;2025;4.8 V8 Turbo;WFC-224;0C8 / TR80SD
Reunault;Captur;2017;2025;1.6 CVT;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Reunault;Duster;11;2025;1.6 E 2.0 CVT;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Reunault;Fluence;2011;2025;2.0 ->;WEOC-001;JF011E / REOF10A
Reunault;Fluence;2011;2025;2.0 CVT;WFC-941 / WFC-953;JF011E / REOF10A
Reunault;Fluence;2011;2025;2.0 CVT;WEOC-002 / WEOC-003 / WEOC-004;JF015 / CVT7
Reunault;Laguna;1990;2025;3.0;WFC-904;AL4 / DP0
Reunault;Megane;96;2025;1.6 E 2.0;WFC-904;AL4 / DP0
Ssangyong;Actyon;7;2025;2.0 E 2.3;WFC-931;BTR-M74LE / M74LE / M78LE
Ssangyong;Kyron;7;2025;2.0 E 2.7;WFC-527 / WFC-927;722.6 (Mercedes 5M)
Ssangyong;Kyron;7;2025;2.0 E 2.7;WFC-931;BTR-M74LE / M74LE / M78LE
Ssangyong;Rexton;7;8;2.0 E 2.7;WFC-527 / WFC-927;722.6 (Mercedes 5M)
Ssangyong;Rexton;7;8;2.7;WFC-931;BTR-M74LE / M74LE / M78LE
Subaru;Forester;6;2025;2.0;WFC-233;4EAT / F5AH1
Subaru;Forester;2014;2025;2.0 ->;WEOC-006;TR580 / TR690 (Lineartronic)
Subaru;Impreza;1990;2025;2.0;WFC-233;4EAT / F5AH1
Subaru;Impreza;2011;2017;2.0;WEOC-006;TR580 / TR690 (Lineartronic)
Subaru;Legacy;2009;2014;2.5;WEOC-006;TR580 / TR690 (Lineartronic)
Subaru;Outback;2015;2025;2.5 ->;WEOC-006;TR580 / TR690 (Lineartronic)
Suzuki;Grand Vitara;1;2025;1.6;WFC-974;0372LE / 03-72LE / 03-71...
Suzuki;Grand Vitara;1998;2025;2.0;WFC-968 / WFC-994;A43DE / A44DE / A46DE...
Suzuki;Grand Vitara;1998;2003;2.0 HD;WFC-968 / WFC-994;A43DE / A44DE / A46DE...
Suzuki;Grand Vitara;1998;2025;2.5 V6 24V;WFC-968 / WFC-994;A43DE / A44DE / A46DE...
Suzuki;Sidekick;90;96;1.6 16V;WFC-974;0372LE / 03-72LE / 03-71...
Suzuki;Vitara;88;2025;1.6;WFC-974;0372LE / 03-72LE / 03-71...
Suzuki;Vitara;88;2025;Padrão;WFC-223;09G / TF60SN (Aisin 6M)
Toyota;Camry;2;2025;2.4 E 3.0 E 3.3;WFC-944;U151F / U151E
Toyota;Camry;2;2025;3.0;WFC-934;U140E / U240E / U241E
Toyota;Camry;2;2025;3.5;WFC-956;U660 / U660E
Toyota;Corolla;2002;2007;1.6 16V;WFC-973;A245E / A246E / A247E...
Toyota;Corolla;1990;2025;1.6 E 1.8;WFC-532 / WFC-932;U340E / U341E / U340F...
Toyota;Corolla;1991;2002;1.8;WFC-231;A240 / A240E / A245...
Toyota;Corolla;2002;2007;1.8;WFC-973;A245E / A246E / A247E...
Toyota;Corolla;1990;2025;1.8;WFC-236;K110 / K310 (Toyota CVT)
Toyota;Corolla;2014;2025;1.8 ->;WFC-595 / WFC-995;K110 / K310 (Toyota CVT)
Toyota;Corolla;1990;2025;2.0;WFC-934;U140E / U240E / U241E
Toyota;Corolla;2015;2025;2.0 CVT ->;WFC-212 / WFC-960;K110 / K310 (Toyota CVT)
Toyota;Corolla Altis;1990;2025;1.8;WFC-236;K110 / K310 (Toyota CVT)
Toyota;Corona;1997;2003;2.0;WFC-231;A240 / A240E / A245...
Toyota;Etios;2016;2025;1.3 ->;WFC-220;AW80-40LS / U440E
Toyota;Etios;2016;2025;1.3 16V ->;WFC-520;AW80-40LS / U440E
Toyota;Etios;2016;2025;1.5 ->;WFC-220;AW80-40LS / U440E
Toyota;Etios;2016;2025;1.5 16V ->;WFC-520;AW80-40LS / U440E
Toyota;Fielder;2002;2007;1.8;WFC-973;A245E / A246E / A247E...
Toyota;Fielder;1993;2002;1.8;WFC-232;A246E / A247E
Toyota;Hilux;2016;2025;2.7 16V SW4;WFC-513;AC60F
Toyota;Hilux;2016;2025;2.7 16V SW4 ->;WFC-213;AC60F
Toyota;Hilux;2016;2025;2.8 16V SW4;WFC-513;AC60F
Toyota;Hilux;2016;2025;2.8 16V SW4 ->;WFC-213;AC60F
Toyota;Hilux;2016;2025;4.0 24V SW4 ->;WFC-213 / WFC-513;AC60F
Toyota;Hilux;1990;2025;Padrão;WFC-567 / WFC-967;V5AWF / A750E / A750F
Toyota;Hilux SW4;2005;2010;3.0 TDI;WFC-980;A343F / A343E / A343E...
Toyota;Lexus Es 350;1990;2025;3.5;WFC-956;U660 / U660E
Toyota;Lexus Rx 350;1990;2025;3.5;WFC-956;U660 / U660E
Toyota;Paseo;1991;1995;1.5;WFC-231;A240 / A240E / A245...
Toyota;Rav4;1;2025;2.0;WFC-934;U140E / U240E / U241E
Toyota;Rav4;1;2025;2.5;WFC-956;U660 / U660E
Toyota;Rav4;1;2025;Padrão;WFC-236;K110 / K310 (Toyota CVT)
Volvo;2.4 E 2.5 Turbo;1990;2025;Padrão;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volvo;3.0;1990;2025;Padrão;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volvo;C30;2007;2025;2.0 E 2.4 E 2.5 Turbo;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volvo;C30;2006;2025;2.5;WFC-917;AW50-40 / AW55-50
Volvo;C70;2006;2025;2.5 ->;WFC-917;AW50-40 / AW55-50
Volvo;S40;96;2025;1.8 Turbo;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volvo;S40;2004;2025;2.4 -> S60 2.5 Turbo 2003-->;WFC-917;AW50-40 / AW55-50
Volvo;S60;1;2025;2.0 Turbo;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volvo;S80;1990;2025;3.2;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volvo;V50;2004;2025;2.4 E 2.5;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volvo;V50;2004;2025;2.5 Xc90 2.5 2002-->;WFC-917;AW50-40 / AW55-50
Volvo;V60;2013;2025;3.0 Turbo;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volvo;Xc60;11;2025;2.0 Turbo;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volkswagen;Amarok;2012;2017;Padrão;WFC-554 / WFC-954;AL4 / DP0
Volkswagen;Bora;7;2025;2.0;WFC-538 / WFC-938;01M / AG4
Volkswagen;Bora;7;2025;2.0;WFC-222 / WFC-963;09G / TF60SN (Aisin 6M)
Volkswagen;Eos;2008;2025;TFSI 2.0;WFC-937 / WFC-940 / WOEC-001;DSG / S-Tronic
Volkswagen;Fusca;12;2025;TSI 2.0;WFC-937 / WFC-940 / WOEC-001;DSG / S-Tronic
Volkswagen;Fusca Novo;12;2025;2.0;WFC-963;09G / TF60SN (Aisin 6M)
Volkswagen;Fusca Novo;12;2025;2.0 TSI;WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Gol;1990;2025;1.6 16V;WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Gol;2019;2022;1.6 MSI;WFC-244;09G / TF60SN (Aisin 6M)
Volkswagen;Golf;1;2025;1.4;WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Golf;1;2025;1.4 TSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volkswagen;Golf;1;2025;1.8 E 2.0;WFC-538 / WFC-938;01M / AG4
Volkswagen;Golf;1;2025;2.0;WFC-222 / WFC-936 / WFC-991;09G / TF60SN (Aisin 6M)
Volkswagen;Golf;1;2025;2.0 TSI;WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Golf;1;2025;Variant 1.4 TSI;WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Golf;1;2025;Variant 1.4 TSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volkswagen;Jetta;5;2025;1.4 E 2.0 E 2.5;WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Jetta;5;2025;1.4 TSI;WOEC-003 / WOEC-005 / WOEC-006 / WOEC-007 / WOEC-008;DSG / S-Tronic
Volkswagen;Jetta;5;2025;2.0 E 2.5;WFC-223 / WFC-936 / WFC-963 / WFC-991;09G / TF60SN (Aisin 6M)
Volkswagen;New Beetle;2;9;2.0;WFC-223 / WFC-963;09G / TF60SN (Aisin 6M)
Volkswagen;Passat;1990;2025;1.8 E 2.0 E 3.6;WFC-936 / WFC-991;09G / TF60SN (Aisin 6M)
Volkswagen;Passat;1990;2025;1.8 E 2.8;WFC-538 / WFC-938;01M / AG4
Volkswagen;Passat;1990;2025;1.8 E 2.8;WFC-503 / WFC-903;ZF 5HP19
Volkswagen;Passat;1990;2025;2.0;WFC-223;09G / TF60SN (Aisin 6M)
Volkswagen;Passat;1990;2025;2.0 FSI;WFC-963;09G / TF60SN (Aisin 6M)
Volkswagen;Passat;1990;2025;2.0 TSI;WFC-557;09M
Volkswagen;Passat;1990;2025;2.0 TSI;WFC-957;U760E / 09M
Volkswagen;Passat;1990;2025;FSI E TSI 2.0;WFC-937 / WFC-940 / WOEC-001;DSG / S-Tronic
Volkswagen;Passat;1990;2025;Variant 2.0 Tfs;WFC-963;09G / TF60SN (Aisin 6M)
Volkswagen;Polo;2;2025;1.0 TSI;WFC-244 / WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Polo;2019;2022;1.6 MSI;WFC-244 / WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Tiguan;9;2025;2.0;WFC-936 / WFC-991;09G / TF60SN (Aisin 6M)
Volkswagen;Tiguan;9;2025;2.0 TFSI;WFC-557;09M
Volkswagen;Tiguan;9;2025;2.0 TFSI;WFC-957;U760E / 09M
Volkswagen;Tiguan;9;2025;2.0 TSI;WFC-557;09M
Volkswagen;Tiguan;9;2025;2.0 TSI;WFC-957;U760E / 09M
Volkswagen;Tiguan;9;2025;FSI E TSI 1.4 E 2.0;WFC-937 / WFC-940 / WOEC-001;DSG / S-Tronic
Volkswagen;Touareg;3;2025;3.6 FSI;WFC-224;0C8 / TR80SD
Volkswagen;Virtus;2017;2025;1.0 TSI;WFC-244 / WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Virtus;2019;2022;1.6 MSI;WFC-244 / WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Voyage;8;2025;1.6 16V;WFC-962;09G / TF60SN (Aisin 6M)
Volkswagen;Voyage;2019;2022;1.6 MSI;WFC-244;09G / TF60SN (Aisin 6M)
